,date,weekday,holiday
405,2/3/55,terça-feira,Carnaval
406,16/4/55,sexta-feira,Paixão de Cristo
407,21/4/55,quarta-feira,Tiradentes
408,1/5/55,sábado,Dia do Trabalho
409,17/6/55,quinta-feira,Corpus Christi
410,7/9/55,terça-feira,Independência do Brasil
411,12/10/55,terça-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
412,2/11/55,terça-feira,Finados
413,15/11/55,segunda-feira,Proclamação da República
414,20/11/55,sábado,Dia Nacional de Zumbi e da Consciência Negra
415,25/12/55,sábado,Natal
416,1/1/56,sábado,Confraternização Universal
